"wave","response"
NA,NA
29900,0
30015,0
30130,0.000884446
30245,0.000963419
30360,0.000886862
30475,0.0006943
30590,0.000906367
30705,0.00112631
30820,0.000605025
30935,0.000586498
31050,0.00142326
31165,0.00389801
31280,0.00875296
31395,0.0205996
31510,0.0544916
31625,0.144464
31740,0.34945
31855,0.605832
31970,0.764103
32085,0.790115
32200,0.759374
32315,0.733731
32430,0.740967
32545,0.778215
32660,0.825367
32775,0.864017
32890,0.880202
33005,0.877701
33120,0.866544
33235,0.856545
33350,0.857316
33465,0.859978
33580,0.857644
33695,0.850887
33810,0.849569
33925,0.865107
34040,0.89362
34155,0.917757
34270,0.925195
34385,0.909902
34500,0.887428
34615,0.876055
34730,0.880175
34845,0.903212
34960,0.932112
35075,0.956411
35190,0.97434
35305,0.980706
35420,0.973976
35535,0.966388
35650,0.959279
35765,0.952953
35880,0.956618
35995,0.964655
36110,0.96736
36225,0.968286
36340,0.959225
36455,0.945513
36570,0.931584
36685,0.923666
36800,0.926808
36915,0.939948
37030,0.95764
37145,0.979329
37260,0.990438
37375,0.998562
37490,1
37605,0.99395
37720,0.984047
37835,0.974472
37950,0.970034
38065,0.967119
38180,0.960479
38295,0.948742
38410,0.93202
38525,0.911631
38640,0.903464
38755,0.917922
38870,0.940509
38985,0.936726
39100,0.841206
39215,0.588835
39330,0.306925
39445,0.125807
39560,0.0469752
39675,0.017846
39790,0.0076466
39905,0.00355015
40020,0.00165219
40135,0.000919279
40250,0.000970205
40365,0.00104159
40480,0
