"wave","response"
9365,0
9400,0
9435,0.000101632
9470,0.000177166
9505,0.000201011
9540,0.000189741
9575,0.00020676
9610,0.000190401
9645,0.00028732
9680,0.000332814
9715,0.000443613
9750,0.000701661
9785,0.001068
9820,0.00156711
9855,0.0028289
9890,0.00677417
9925,0.0223083
9960,0.0813086
9995,0.207063
10030,0.378448
10065,0.611574
10100,0.826988
10135,0.890999
10170,0.897209
10205,0.926826
10240,0.930447
10275,0.924916
10310,0.934544
10345,0.949997
10380,0.966817
10415,0.979774
10450,0.979793
10485,0.978809
10520,0.970647
10555,0.958133
10590,0.937991
10625,0.925891
10660,0.925503
10695,0.946759
10730,0.975942
10765,0.995516
10800,1
10835,0.995837
10870,0.982525
10905,0.94842
10940,0.950984
10975,0.897988
11010,0.71277
11045,0.398406
11080,0.179987
11115,0.0798186
11150,0.0279707
11185,0.0081398
11220,0.00580719
11255,0.00256482
11290,0.00173286
11325,0.000994473
11360,0.00055511
11395,0.000657467
11430,0.000324661
11465,0.000413581
11500,0.000385332
11535,0
11570,0
