"wave","response"
9975,0
10010,0
10045,0.000360953
10080,0.000388469
10115,0.00036317
10150,0.000350061
10185,0.000359303
10220,0.000421715
10255,0.00038462
10290,0.000377009
10325,0.000441657
10360,0.000509402
10395,0.000704719
10430,0.000801986
10465,0.000970026
10500,0.00136826
10535,0.0022436
10570,0.00477075
10605,0.0132208
10640,0.0401716
10675,0.106137
10710,0.221077
10745,0.440642
10780,0.763757
10815,0.939149
10850,0.896073
10885,0.853753
10920,0.838542
10955,0.853466
10990,0.852212
11025,0.877671
11060,0.912533
11095,0.804019
11130,0.920914
11165,0.623435
11200,0.825689
11235,0.601122
11270,0.466167
11305,0.655586
11340,0.391887
11375,0.602015
11410,0.715405
11445,0.646663
11480,0.719978
11515,0.891024
11550,0.692686
11585,0.85616
11620,0.830082
11655,0.975661
11690,0.916116
11725,0.956659
11760,0.916305
11795,0.872594
11830,0.946155
11865,0.967903
11900,0.976568
11935,1
11970,0.959131
12005,0.932015
12040,0.841668
12075,0.728779
12110,0.524516
12145,0.361019
12180,0.222969
12215,0.130896
12250,0.0658294
12285,0.0426823
12320,0.0238399
12355,0.0137151
12390,0.00788472
12425,0.00468188
12460,0.00301156
12495,0.0019697
12530,0.0013919
12565,0.00102823
12600,0.000743734
12635,0.000618338
12670,0.000584874
12705,0
12740,0
