"wave","response"
8850,0
8885,0
8920,0.00559454
8955,0.0139264
8990,0.047815
9025,0.16264
9060,0.406282
9095,0.655714
9130,0.769629
9165,0.798889
9200,0.790536
9235,0.779109
9270,0.793319
9305,0.80856
9340,0.80663
9375,0.807904
9410,0.826728
9445,0.841702
9480,0.836885
9515,0.831548
9550,0.841474
9585,0.850425
9620,0.843193
9655,0.836909
9690,0.85069
9725,0.872434
9760,0.88311
9795,0.889507
9830,0.905866
9865,0.926681
9900,0.928426
9935,0.913544
9970,0.906071
10005,0.912852
10040,0.918467
10075,0.907983
10110,0.893044
10145,0.889724
10180,0.899727
10215,0.908399
10250,0.910593
10285,0.917175
10320,0.937469
10355,0.962049
10390,0.97338
10425,0.966997
10460,0.958381
10495,0.959967
10530,0.966246
10565,0.96683
10600,0.960122
10635,0.953855
10670,0.953584
10705,0.955056
10740,0.952593
10775,0.949478
10810,0.951027
10845,0.960683
10880,0.972555
10915,0.977863
10950,0.976976
10985,0.973492
11020,0.971827
11055,0.967996
11090,0.958521
11125,0.946549
11160,0.936864
11195,0.932966
11230,0.936103
11265,0.944317
11300,0.953744
11335,0.961094
11370,0.966157
11405,0.971313
11440,0.976392
11475,0.982651
11510,0.984531
11545,0.976853
11580,0.964979
11615,0.957738
11650,0.961937
11685,0.973329
11720,0.986347
11755,0.99627
11790,1
11825,0.982341
11860,0.946999
11895,0.940872
11930,0.978327
11965,0.804884
12000,0.377367
12035,0.128795
12070,0.0466524
12105,0.0186765
12140,0.00773352
12175,0.00310975
12210,0.00135288
12245,0.000399532
12280,0.0001039
12315,0.00010372
12350,0.000103727
12385,0.000103735
12420,0.000103766
12455,0.000103816
12490,0.000103868
12525,0.000103951
12560,0.00010405
12595,0.000104148
12630,0.000104235
12665,0.000104318
12700,0.000104401
12735,0.000104485
12770,0.000104568
12805,0.000104638
12840,0.000104665
12875,0.000104687
12910,0.000104709
12945,0.000104732
12980,0.000104754
13015,0.000104827
13050,0.000104967
13085,0.000105107
13120,0.000105247
13155,0.000105387
13190,0.000105526
13225,0.000105614
13260,0.000105677
13295,0.000105741
13330,0.000105805
13365,0.000105869
13400,0.000105908
13435,0.000105795
13470,0.000105657
13505,0.00010553
13540,0.000105438
13575,0.00010535
13610,0.000105046
13645,0.000104279
13680,0.000103497
13715,0.000102716
13750,0.000101936
13785,0.000101159
13820,0.00010053
13855,0.000100923
13890,0.00010175
13925,0.00010258
13960,0.000103414
13995,0.000104214
14030,0.000104577
14065,0.000104816
14100,0.000105054
14135,0.000105292
14170,0.00010553
14205,0.000105697
14240,0.000105619
14275,0.000105517
14310,0.000105414
14345,0.000105311
14380,0.000105208
14415,0.000105075
14450,0.000104902
14485,0.000104729
14520,0.00010468
14555,0.000104724
14590,0.000104768
14625,0.000104783
14660,0.000104787
14695,0.00010479
14730,0.000104794
14765,0.000104798
14800,0.000104797
14835,0.000104769
14870,0.000104736
14905,0.000104703
14940,0.00010467
14975,0.000104636
15010,0.0001046
15045,0.000104555
15080,0.000104511
15115,0.000104466
15150,0.000104421
15185,0.000104376
15220,0.000104314
15255,0.000104239
15290,0.000104163
15325,0.000104088
15360,0.000104013
15395,0.000103938
15430,0.000103877
15465,0.00010382
15500,0.000103767
15535,0.000103737
15570,0.000103711
15605,0.00010368
15640,0.000103636
15675,0.00010359
15710,0.000103544
15745,0.000103499
15780,0.000103453
15815,0.000103413
15850,0.000103382
15885,0.00010335
15920,0.000103319
15955,0.000103295
15990,0
16025,0
