"wave","response"
10740,0
10780,0
10820,0.00736477
10860,0.0169623
10900,0.0533077
10940,0.167995
10980,0.421486
11020,0.717173
11060,0.87323
11100,0.915513
11140,0.927835
11180,0.932569
11220,0.935556
11260,0.938061
11300,0.936186
11340,0.931032
11380,0.930497
11420,0.936939
11460,0.941245
11500,0.9385
11540,0.937413
11580,0.949837
11620,0.966447
11660,0.970527
11700,0.961937
11740,0.9561
11780,0.960162
11820,0.964815
11860,0.961698
11900,0.956368
11940,0.957704
11980,0.964579
12020,0.968681
12060,0.967738
12100,0.968387
12140,0.971705
12180,0.971658
12220,0.966127
12260,0.960239
12300,0.963356
12340,0.972498
12380,0.9781
12420,0.975792
12460,0.971908
12500,0.974465
12540,0.979089
12580,0.977189
12620,0.967492
12660,0.959165
12700,0.961776
12740,0.972952
12780,0.984087
12820,0.990174
12860,0.989831
12900,0.984612
12940,0.973443
12980,0.958431
13020,0.946869
13060,0.947531
13100,0.961341
13140,0.980174
13180,0.994095
13220,0.999578
13260,1
13300,0.99706
13340,0.988406
13380,0.97246
13420,0.955936
13460,0.947016
13500,0.949998
13540,0.960221
13580,0.97121
13620,0.976415
13660,0.976055
13700,0.972872
13740,0.965768
13780,0.952226
13820,0.928793
13860,0.911868
13900,0.921945
13940,0.908903
13980,0.681816
14020,0.306903
14060,0.094039
14100,0.036141
14140,0
14180,0
